instance;m;j;t;sw;dens;tft;time(s);gap
1;2;10;10;(2,4);[3,5];134;422.313;0
2;2;10;10;(2,4);[3,5];146;1034.984;0
3;2;10;10;(2,4);[3,5];133;614.313;0
4;2;10;10;(2,4);[3,5];95;267.031;0
5;2;10;10;(2,4);[3,5];104;462.516;0
6;2;10;10;(2,4);[3,5];104;468.297;0
7;2;10;10;(2,4);[3,5];127;327.797;0
8;2;10;10;(2,4);[3,5];135;916.641;0
9;2;10;10;(2,4);[3,5];133;507.671;0
10;2;10;10;(2,4);[3,5];137;155.781;0
11;2;10;10;(2,4);[3,5];146;460.109;0
12;2;10;10;(2,4);[3,5];165;754.391;0
13;2;10;10;(2,4);[3,5];103;466.344;0
14;2;10;10;(2,4);[3,5];153;561.469;0
15;2;10;10;(2,4);[3,5];146;823.109;0
16;2;10;10;(2,4);[3,5];124;583.157;0
17;2;10;10;(2,4);[3,5];148;663.516;0
18;2;10;10;(2,4);[3,5];96;364;0
19;2;10;10;(2,4);[3,5];137;539.094;0
20;2;10;10;(2,4);[3,5];122;315.484;0
21;2;15;10;(2,4);[3,5];268;3609.438;0
22;2;15;10;(2,4);[3,5];310;3608.312;0
23;2;15;10;(2,4);[3,5];252;3609.531;0
24;2;15;10;(2,4);[3,5];282;3607.796;0
25;2;15;10;(2,4);[3,5];253;3607.313;0
26;2;15;10;(2,4);[3,5];283;3612.593;0
27;2;15;10;(2,4);[3,5];241;3607.234;0
28;2;15;10;(2,4);[3,5];194;3610.953;0
29;2;15;10;(2,4);[3,5];205;3607.75;0
30;2;15;10;(2,4);[3,5];298;3611.594;0
31;2;15;10;(2,4);[3,5];276;3601.829;0
32;2;15;10;(2,4);[3,5];288;3612.672;0
33;2;15;10;(2,4);[3,5];301;3611.454;0
34;2;15;10;(2,4);[3,5];303;3605.797;0
35;2;15;10;(2,4);[3,5];345;3609.25;0
36;2;15;10;(2,4);[3,5];227;3608.797;0
37;2;15;10;(2,4);[3,5];331;3610.938;0
38;2;15;10;(2,4);[3,5];335;3607.656;0
39;2;15;10;(2,4);[3,5];207;3617.218;0
40;2;15;10;(2,4);[3,5];324;3609.64;0
41;2;10;15;(2,4);[3,5];210;2525;0
42;2;10;15;(2,4);[3,5];168;1049.015;0
43;2;10;15;(2,4);[3,5];135;872.312;0
44;2;10;15;(2,4);[3,5];148;1088.11;0
45;2;10;15;(2,4);[3,5];161;1299.328;0
46;2;10;15;(2,4);[3,5];181;1260.891;0
47;2;10;15;(2,4);[3,5];138;753.078;0
48;2;10;15;(2,4);[3,5];157;517.734;0
49;2;10;15;(2,4);[3,5];159;1303;0
50;2;10;15;(2,4);[3,5];144;1416.907;0
51;2;10;15;(2,4);[3,5];157;1379.344;0
52;2;10;15;(2,4);[3,5];160;1370.407;0
53;2;10;15;(2,4);[3,5];149;720.063;0
54;2;10;15;(2,4);[3,5];207;2948.265;0
55;2;10;15;(2,4);[3,5];183;1074.906;0
56;2;10;15;(2,4);[3,5];172;924.047;0
57;2;10;15;(2,4);[3,5];119;716.015;0
58;2;10;15;(2,4);[3,5];165;1139.422;0
59;2;10;15;(2,4);[3,5];172;1977.86;0
60;2;10;15;(2,4);[3,5];184;1817.781;0
61;2;15;15;(2,4);[3,5];310;3603.625;0
62;2;15;15;(2,4);[3,5];358;3601.625;0
63;2;15;15;(2,4);[3,5];284;3606.813;0.80181
64;2;15;15;(2,4);[3,5];344;3604.625;0.80804
65;2;15;15;(2,4);[3,5];319;3607.813;0.80216
66;2;15;15;(2,4);[3,5];345;3604.125;0.78468
67;2;15;15;(2,4);[3,5];395;3603.344;0.76673
68;2;15;15;(2,4);[3,5];338;3609.187;0.80131
69;2;15;15;(2,4);[3,5];352;3605.297;0.75939
70;2;15;15;(2,4);[3,5];310;3607.985;0.80671
71;2;15;15;(2,4);[3,5];394;3607.016;0.82699
72;2;15;15;(2,4);[3,5];328;3605;0.8248
73;2;15;15;(2,4);[3,5];426;3603.86;0.80395
74;2;15;15;(2,4);[3,5];318;3605.75;0.83363
75;2;15;15;(2,4);[3,5];327;3606.172;0.78279
76;2;15;15;(2,4);[3,5];299;3612.969;0.79697
77;2;15;15;(2,4);[3,5];343;3605.031;0.83309
78;2;15;15;(2,4);[3,5];353;3604.109;0.8034
79;2;15;15;(2,4);[3,5];363;3607.578;0.80928
80;2;15;15;(2,4);[3,5];378;3604.328;0.81871
81;3;15;15;(2,4);[5,7];204;3607.765;0.7158
82;3;15;15;(2,4);[5,7];141;3605.64;0.64536
83;3;15;15;(2,4);[5,7];171;3604.172;0.62161
84;3;15;15;(2,4);[5,7];133;3605.594;0.70095
85;3;15;15;(2,4);[5,7];135;3604.235;0.62573
86;3;15;15;(2,4);[5,7];174;3604.891;0.59053
87;3;15;15;(2,4);[5,7];149;3605.047;0.66829
88;3;15;15;(2,4);[5,7];214;3605.609;0.64663
89;3;15;15;(2,4);[5,7];194;3605.109;0.64276
90;3;15;15;(2,4);[5,7];161;3606.547;0.60776
91;3;15;15;(2,4);[5,7];152;3604.157;0.62825
92;3;15;15;(2,4);[5,7];154;3602.469;0.69305
93;3;15;15;(2,4);[5,7];191;3610.016;0.74346
94;3;15;15;(2,4);[5,7];182;3602.859;0.66407
