instance;m;j;t;sw;dens;ts;time(s);gap
1;2;10;10;(2,4);[3,5];2;6.063;0
2;2;10;10;(2,4);[3,5];3;7.063;0
3;2;10;10;(2,4);[3,5];2;2.891;0
4;2;10;10;(2,4);[3,5];2;8;0
5;2;10;10;(2,4);[3,5];1;0.781;0
6;2;10;10;(2,4);[3,5];2;6.656;0
7;2;10;10;(2,4);[3,5];4;13.469;0
8;2;10;10;(2,4);[3,5];3;9.281;0
9;2;10;10;(2,4);[3,5];2;3.156;0
10;2;10;10;(2,4);[3,5];3;2.062;0
11;2;10;10;(2,4);[3,5];3;10.343;0
12;2;10;10;(2,4);[3,5];4;7.765;0
13;2;10;10;(2,4);[3,5];3;14.25;0
14;2;10;10;(2,4);[3,5];4;10.265;0
15;2;10;10;(2,4);[3,5];2;19.329;0
16;2;10;10;(2,4);[3,5];3;44.203;0
17;2;10;10;(2,4);[3,5];3;17.359;0
18;2;10;10;(2,4);[3,5];2;20.844;0
19;2;10;10;(2,4);[3,5];3;20.531;0
20;2;10;10;(2,4);[3,5];3;23.437;0
21;2;15;10;(2,4);[3,5];3;347.407;0
22;2;15;10;(2,4);[3,5];3;69.437;0
23;2;15;10;(2,4);[3,5];5;3607.36;0
24;2;15;10;(2,4);[3,5];3;27.406;0
25;2;15;10;(2,4);[3,5];4;1234.203;0
26;2;15;10;(2,4);[3,5];4;108.531;0
27;2;15;10;(2,4);[3,5];4;360.89;0
28;2;15;10;(2,4);[3,5];4;79.968;0
29;2;15;10;(2,4);[3,5];4;723.938;0
30;2;15;10;(2,4);[3,5];3;377.047;0
31;2;15;10;(2,4);[3,5];4;1907.985;0
32;2;15;10;(2,4);[3,5];4;103.562;0
33;2;15;10;(2,4);[3,5];5;87.875;0
34;2;15;10;(2,4);[3,5];4;173.344;0
35;2;15;10;(2,4);[3,5];6;229.062;0
36;2;15;10;(2,4);[3,5];4;209.265;0
37;2;15;10;(2,4);[3,5];3;153.656;0
38;2;15;10;(2,4);[3,5];5;2106.844;0
39;2;15;10;(2,4);[3,5];4;91.5;0
40;2;15;10;(2,4);[3,5];5;423.094;0
41;2;10;15;(2,4);[3,5];7;95.438;0
42;2;10;15;(2,4);[3,5];6;64.985;0
43;2;10;15;(2,4);[3,5];6;37.234;0
44;2;10;15;(2,4);[3,5];6;40.859;0
45;2;10;15;(2,4);[3,5];5;32.703;0
46;2;10;15;(2,4);[3,5];5;42.953;0
47;2;10;15;(2,4);[3,5];6;53.484;0
48;2;10;15;(2,4);[3,5];9;84.094;0
49;2;10;15;(2,4);[3,5];7;69.75;0
50;2;10;15;(2,4);[3,5];5;50.797;0
51;2;10;15;(2,4);[3,5];6;52.688;0
52;2;10;15;(2,4);[3,5];6;63.062;0
53;2;10;15;(2,4);[3,5];6;47.485;0
54;2;10;15;(2,4);[3,5];8;86.719;0
55;2;10;15;(2,4);[3,5];8;41.141;0
56;2;10;15;(2,4);[3,5];6;98.235;0
57;2;10;15;(2,4);[3,5];5;75.907;0
58;2;10;15;(2,4);[3,5];6;63.719;0
59;2;10;15;(2,4);[3,5];7;112.547;0
60;2;10;15;(2,4);[3,5];7;63.765;0
61;2;15;15;(2,4);[3,5];10;3608.203;0
62;2;15;15;(2,4);[3,5];10;3609.188;0
63;2;15;15;(2,4);[3,5];9;3609.172;0.531392355
64;2;15;15;(2,4);[3,5];11;3613.765;0.600414045
65;2;15;15;(2,4);[3,5];8;3614.734;0.74815887
66;2;15;15;(2,4);[3,5];9;3610.531;0.555555556
67;2;15;15;(2,4);[3,5];11;3614.062;0.650650803
68;2;15;15;(2,4);[3,5];11;3611.609;0.636363636
69;2;15;15;(2,4);[3,5];6;3600.187;0.267336506
70;2;15;15;(2,4);[3,5];10;3609.187;0.602247789
71;2;15;15;(2,4);[3,5];11;3607.032;0.522282273
72;2;15;15;(2,4);[3,5];9;3608.781;0.430206379
73;2;15;15;(2,4);[3,5];10;3608.109;0.627840909
74;2;15;15;(2,4);[3,5];8;3603.922;0.370833333
75;2;15;15;(2,4);[3,5];7;3605.125;0.60831953
76;2;15;15;(2,4);[3,5];7;3612.234;0.568467802
77;2;15;15;(2,4);[3,5];11;3616.532;0.665850675
78;2;15;15;(2,4);[3,5];8;3606.985;0.48125
79;2;15;15;(2,4);[3,5];11;3613.219;0.572696272
80;2;15;15;(2,4);[3,5];10;3609.641;0.531403116
81;3;15;15;(2,4);[5,7];1;29.062;0
82;3;15;15;(2,4);[5,7];1;33.593;0
